timetweet,isitweet,favcount,retwcount,id,name
2022-03-28 09:13:35,"b'Srikandi Polsek Gayamsari bersama Srikandi Polsek Jajaran Polrestabes Semarang melaksanakan Pam Unra ""Aksi Damai Tolak Kekerasan Seksual oleh Korp HMI Wati"" di Patung Kuda Jl. Pahlawan Semarang\n\n@divisihumaspolri @humas_poldajateng @polritvradio @semarangpemkot https://t.co/ZrHTFSklAl'",0,0,1508371714446569477,polsekgayamsar1
2022-03-28 09:04:07,"b'\xe2\x80\x9cDengan adanya UU, rakyat memiliki perlindungan yg sah utk memenuhi kebutuhan &amp; kepentingan mereka. Kemudian terkait RUU Tindak Pidana Kekerasan Seksual (TPKS), .\xe2\x80\x9d \xe2\x80\x93Puan Maharani https://t.co/nwKPofSPpO'",0,0,1508369332530982913,erwinjayana
2022-03-28 08:59:11,b'RT @mufidayati_id: Sikap Fraksi PKS terhadap RUU tentang Tindak Pidana Kekerasan Seksual.\nFull video: https://t.co/LREwnbSiQv\n\n@FPKSDPRRI h\xe2\x80\xa6',0,13,1508368090546860034,MahriBismillah
2022-03-28 08:56:20,b'RT @mufidayati_id: Sikap Fraksi PKS terhadap RUU tentang Tindak Pidana Kekerasan Seksual.\nFull video: https://t.co/LREwnbSiQv\n\n@FPKSDPRRI h\xe2\x80\xa6',0,13,1508367373186658304,pksmalaysia1
2022-03-28 08:54:29,b'RT @lyndaibrahim: Pak Ribut diributin. Pendidikan seksual di sekolah dilarang krn dgn bodohnya dikira ngajarin teknik hubungan seks.\n\nSalah\xe2\x80\xa6',0,1101,1508366909108273163,charityiaps
2022-03-28 08:49:19,b'RT @literarybase: karya - tw// kekerasan seksual &amp; indication of death https://t.co/TTPig3Ex9G',0,398,1508365606180909056,9races
2022-03-28 08:49:17,b'RT @lyndaibrahim: Pak Ribut diributin. Pendidikan seksual di sekolah dilarang krn dgn bodohnya dikira ngajarin teknik hubungan seks.\n\nSalah\xe2\x80\xa6',0,1101,1508365597926883329,ewinwinarti
2022-03-28 08:30:08,b'RT @lyndaibrahim: Pak Ribut diributin. Pendidikan seksual di sekolah dilarang krn dgn bodohnya dikira ngajarin teknik hubungan seks.\n\nSalah\xe2\x80\xa6',0,1101,1508360778700976129,lazirinorhsab
2022-03-28 08:28:48,"b'ungkap peneliti sekaligus penyanyi profesional, Ullynara Zungga berdasarkan hasil tesisnya tentang Kekerasan Seksual yang Dialami Perempuan Penyanyi Dangdut'",0,0,1508360443756412928,pkbidiy
2022-03-28 08:24:29,b'Unit Reskrim Polsek Kuta Baro Polresta Banda Aceh menangkap 3 remaja atas dugaan tindak pidana pemerkosaan dan pelecehan seksual.\n\n#pemerkosaan #asusila #kriminal #sumaid\nhttps://t.co/YXdbPJl9j1',1,0,1508359356978704385,redaksisuma
2022-03-28 08:18:17,b'RT @mufidayati_id: Sikap Fraksi PKS terhadap RUU tentang Tindak Pidana Kekerasan Seksual.\nFull video: https://t.co/LREwnbSiQv\n\n@FPKSDPRRI h\xe2\x80\xa6',0,13,1508357796856999940,thiwulsebakul
2022-03-28 08:14:11,b'bener2 deh indonesia darurat kekerasan seksual pada anak-anak. \nPada gila x ya anak2 kecil yg d jadiin korban Ya Allah..',0,0,1508356766354251778,Nfitria577Nur
2022-03-28 08:09:02,"b'RT @abcdefghugs: dia ngaku, tapi dia gapernah mau ngaku sampe akhirnya dia ngaku. Aku gatau kalo kasus seperti ini bisa dilaporin ke kampus\xe2\x80\xa6'",0,6,1508355469592907780,nicocacolaa_
2022-03-28 08:08:16,b'RT @mazzini_gsp: Kasus pemerkosaan Sum Kuning oleh anak pejabat di Yogyakarta masih jadi kenangan betapa bobroknya penanganan kasus kekeras\xe2\x80\xa6',0,129,1508355278148104194,saikekel
